Ages Used,Actual Height at 18,Predicted Height at 18,MAE
"(9.0, 10.0, 11.0, 12.0, 15.0, 16.0, 17.0)",172.5786765,174.86875,2.775367647
"(9.0, 10.0, 11.0, 12.0, 15.0, 17.0)",172.5786765,175.0470588,2.905147059
"(9.0, 10.0, 11.0, 12.0, 16.0)",172.5786765,175.5025735,3.823161765
"(9.0, 10.0, 11.0, 12.0, 16.0, 17.0)",172.5786765,174.9018382,2.901838235
"(9.0, 10.0, 11.0, 12.0, 17.0)",172.5786765,175.2709559,3.150367647
"(9.0, 10.0, 11.0, 13.0)",172.5786765,179.2654412,7.766911765
"(9.0, 10.0, 11.0, 13.0, 14.0)",172.5786765,178.7555147,7.096691176
"(9.0, 10.0, 11.0, 13.0, 14.0, 15.0)",172.5786765,176.9613971,5.191544118
"(9.0, 10.0, 11.0, 13.0, 14.0, 15.0, 16.0)",172.5786765,175.4463235,3.429411765
"(9.0, 10.0, 11.0, 13.0, 14.0, 15.0, 16.0, 17.0)",172.5786765,174.8610294,2.716176471
"(9.0, 10.0, 11.0, 13.0, 14.0, 15.0, 17.0)",172.5786765,175.0305147,2.875367647
"(9.0, 10.0, 11.0, 13.0, 14.0, 16.0)",172.5786765,175.4981618,3.519485294
"(9.0, 10.0, 11.0, 13.0, 14.0, 16.0, 17.0)",172.5786765,174.8926471,2.773529412
"(9.0, 10.0, 11.0, 13.0, 14.0, 17.0)",172.5786765,175.1224265,2.970955882
"(9.0, 10.0, 11.0, 13.0, 15.0)",172.5786765,176.6952206,4.981985294
"(9.0, 10.0, 11.0, 13.0, 15.0, 16.0)",172.5786765,175.3514706,3.414705882
"(9.0, 10.0, 11.0, 13.0, 15.0, 16.0, 17.0)",172.5786765,174.8069853,2.678308824
"(9.0, 10.0, 11.0, 13.0, 15.0, 17.0)",172.5786765,174.9933824,2.816176471
"(9.0, 10.0, 11.0, 13.0, 16.0)",172.5786765,175.3933824,3.596323529
"(9.0, 10.0, 11.0, 13.0, 16.0, 17.0)",172.5786765,174.8544118,2.804411765
"(9.0, 10.0, 11.0, 13.0, 17.0)",172.5786765,175.1613971,3.033455882
"(9.0, 10.0, 11.0, 14.0)",172.5786765,179.2573529,7.727205882
"(9.0, 10.0, 11.0, 14.0, 15.0)",172.5786765,177.3213235,5.556617647
"(9.0, 10.0, 11.0, 14.0, 15.0, 16.0)",172.5786765,175.4540441,3.462132353
"(9.0, 10.0, 11.0, 14.0, 15.0, 16.0, 17.0)",172.5786765,174.7867647,2.647794118
"(9.0, 10.0, 11.0, 14.0, 15.0, 17.0)",172.5786765,174.9577206,2.790808824
"(9.0, 10.0, 11.0, 14.0, 16.0)",172.5786765,175.4334559,3.473897059
"(9.0, 10.0, 11.0, 14.0, 16.0, 17.0)",172.5786765,174.7941176,2.671323529
"(9.0, 10.0, 11.0, 14.0, 17.0)",172.5786765,175.0058824,2.849264706
"(9.0, 10.0, 11.0, 15.0)",172.5786765,177.6683824,6.222058824
"(9.0, 10.0, 11.0, 15.0, 16.0)",172.5786765,175.4080882,3.547058824
"(9.0, 10.0, 11.0, 15.0, 16.0, 17.0)",172.5786765,174.6893382,2.588602941
"(9.0, 10.0, 11.0, 15.0, 17.0)",172.5786765,174.8511029,2.705514706
"(9.0, 10.0, 11.0, 16.0)",172.5786765,175.2933824,3.763235294
"(9.0, 10.0, 11.0, 16.0, 17.0)",172.5786765,174.6569853,2.729779412
"(9.0, 10.0, 11.0, 17.0)",172.5786765,174.9709559,2.884191176
"(9.0, 10.0, 12.0)",172.5786765,178.9352941,7.430147059
"(9.0, 10.0, 12.0, 13.0)",172.5786765,179.1661765,7.641176471
"(9.0, 10.0, 12.0, 13.0, 14.0)",172.5786765,178.6658088,6.942279412
"(9.0, 10.0, 12.0, 13.0, 14.0, 15.0)",172.5786765,176.7389706,4.929411765
"(9.0, 10.0, 12.0, 13.0, 14.0, 15.0, 16.0)",172.5786765,175.3683824,3.368382353
"(9.0, 10.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0)",172.5786765,174.8433824,2.693382353
"(9.0, 10.0, 12.0, 13.0, 14.0, 15.0, 17.0)",172.5786765,175.0080882,2.847058824
"(9.0, 10.0, 12.0, 13.0, 14.0, 16.0)",172.5786765,175.4676471,3.484558824
"(9.0, 10.0, 12.0, 13.0, 14.0, 16.0, 17.0)",172.5786765,174.8772059,2.754411765
