,child_id,ATV_8,ATV_9,ATV_10,ATV_11,ATV_12,ATV_13,ATV_14,ATV_15,ATV_16,ATV_17,ATV_18,ATT_8,ATT_9,ATT_10,ATT_11,ATT_12,ATT_13,ATT_14,ATT_15,ATT_16,ATT_17,ATT_18
65,1000002778,1405.0,1456.6666666666663,1513.3333333333328,1585.0000000000002,1656.6666666666667,1690.0000000000007,1704.9999999999995,1713.3333333333337,1712.3333333333333,1720.333333333334,1725.6666666666658,396.6666666666667,452.3333333333333,510.6666666666663,584.3333333333328,643.3333333333333,668.0000000000001,686.6666666666665,725.9999999999999,682.6666666666661,672.3333333333335,672.6666666666663
66,1000002780,1357.4999999999993,1422.4999999999995,1471.4999999999995,1529.2499999999998,1605.0,1666.25,1702.5,1715.2499999999995,1711.7500000000005,1713.7500000000007,1720.2499999999995,366.2499999999999,413.24999999999994,467.2500000000001,501.2499999999999,588.2499999999994,628.5000000000002,645.75,648.5,683.2500000000002,755.7500000000001,816.4999999999995
67,1000002782,1398.7499999999995,1469.9999999999998,1523.75,1568.7499999999998,1624.9999999999995,1677.5000000000005,1705.75,1727.4999999999995,1742.0000000000002,1772.750000000001,1782.7499999999993,350.4999999999999,412.50000000000034,441.2499999999999,486.25,541.25,594.0000000000005,613.0,557.2500000000002,743.4999999999991,878.7500000000001,901.75
68,1000002783,1256.2499999999993,1303.75,1353.9999999999995,1402.9999999999998,1460.0,1526.0000000000007,1599.2500000000002,1649.4999999999995,1671.2500000000005,1682.500000000001,1688.7499999999995,226.24999999999994,250.00000000000003,277.50000000000006,303.74999999999994,328.75,364.25000000000017,406.24999999999994,456.7499999999999,483.50000000000006,488.00000000000017,492.4999999999998
70,1000002933,1265.9999999999998,1275.7499999999995,1353.7500000000002,1421.2499999999995,1502.4999999999995,1581.2500000000007,1637.5,1668.7499999999995,1690.0000000000007,1706.250000000001,1702.499999999999,199.99999999999991,237.5000000000002,227.49999999999966,257.5,292.4999999999999,348.75000000000034,368.75,411.2499999999997,446.0000000000001,468.75000000000017,481.49999999999994
71,1000002934,1416.2499999999998,1473.2500000000005,1536.9999999999998,1596.0,1681.249999999999,1761.2500000000005,1802.5,1809.9999999999998,1817.5000000000002,1827.5000000000007,1837.4999999999995,298.7499999999999,330.50000000000006,372.7500000000001,413.99999999999983,484.75,556.7500000000003,586.0,627.4999999999998,647.5000000000001,661.2500000000003,631.2499999999999
73,1000002936,1281.6666666666667,1339.9999999999995,1408.3333333333335,1515.833333333334,1576.6666666666665,1597.4999999999993,1612.5000000000005,1623.3333333333328,1624.9999999999995,1629.1666666666658,1621.666666666667,264.16666666666686,313.1666666666666,360.3333333333336,418.0000000000002,462.9999999999998,520.8333333333333,535.1666666666667,570.9999999999995,585.4999999999999,593.6666666666665,607.5000000000002
74,1000002938,1286.6666666666672,1312.4999999999993,1344.166666666667,1395.833333333334,1444.9999999999995,1501.333333333333,1551.8333333333337,1589.1666666666665,1607.4999999999993,1626.6666666666663,1613.3333333333337,217.5000000000001,238.33333333333326,264.50000000000006,282.3333333333335,298.3333333333332,339.3333333333332,402.83333333333326,435.6666666666664,481.66666666666663,523.3333333333331,534.166666666667
75,1000002939,1232.5000000000005,1270.8333333333326,1335.1666666666672,1391.1666666666672,1466.666666666666,1529.9999999999995,1565.0000000000002,1582.4999999999995,1597.4999999999993,1599.9999999999993,1600.0000000000002,225.00000000000014,253.33333333333323,288.00000000000017,319.8333333333334,362.4999999999999,403.33333333333326,443.3333333333335,449.9999999999999,508.3333333333335,528.3333333333331,530.0
77,1000002948,1404.9999999999993,1469.5833333333335,1548.3333333333335,1628.333333333333,1687.2499999999998,1701.166666666667,1730.4166666666665,1739.4166666666665,1758.333333333334,1759.999999999999,1760.0,321.66666666666663,366.2500000000001,429.5833333333333,480.8333333333333,574.8333333333334,665.5000000000005,706.9166666666667,746.6666666666667,754.5833333333333,711.9166666666658,719.0000000000001
79,1000002950,1370.0,1429.9999999999995,1463.0000000000002,1510.999999999999,1589.9999999999995,1629.9999999999995,1699.999999999999,1720.0,1775.0,1779.9999999999993,1789.9999999999995,314.9999999999999,334.9999999999999,370.0,413.9999999999998,464.9999999999998,556.9999999999998,631.9999999999998,627.0,629.9999999999998,679.9999999999999,689.9999999999997
82,1000002992,1305.8333333333326,1342.5000000000005,1385.6666666666665,1423.3333333333333,1481.666666666667,1545.0000000000002,1578.3333333333337,1624.166666666666,1645.0000000000007,1645.8333333333335,1649.999999999999,251.66666666666652,263.3333333333335,288.1666666666665,332.5,354.0000000000001,382.1666666666664,430.8333333333337,476.1666666666665,510.5000000000002,527.0,526.5000000000001
84,1000002997,1283.3333333333335,1331.666666666666,1390.0000000000005,1450.833333333334,1529.333333333333,1636.3333333333328,1646.666666666667,1661.6666666666665,1677.4999999999993,1679.9999999999993,1688.3333333333337,272.5000000000002,304.99999999999994,355.8333333333335,385.0000000000002,413.1666666666665,463.8333333333331,529.666666666667,569.3333333333333,611.6666666666666,640.6666666666664,669.1666666666667
85,1000002998,1279.1666666666672,1335.8333333333328,1382.5000000000002,1448.3333333333337,1522.4999999999998,1572.4999999999998,1600.8333333333337,1600.8333333333335,1612.4999999999995,1614.999999999999,1610.8333333333342,255.00000000000017,284.99999999999983,325.0000000000002,371.1666666666667,423.1666666666666,476.1666666666664,509.16666666666674,523.9999999999999,547.6666666666666,536.9999999999997,545.6666666666667
86,1000002999,1271.666666666667,1321.6666666666663,1367.5000000000005,1432.5000000000005,1507.3333333333326,1556.6666666666663,1575.6666666666672,1600.499999999999,1603.3333333333328,1602.999999999999,1604.6666666666667,231.66666666666677,264.16666666666663,286.66666666666674,315.0000000000001,358.3333333333333,414.3333333333331,459.0000000000001,455.9999999999999,493.1666666666667,507.6666666666664,505.66666666666686
87,1000003001,1390.416666666666,1436.25,1495.0000000000002,1559.583333333333,1633.7499999999995,1667.5000000000002,1674.583333333333,1688.75,1694.583333333334,1699.5833333333328,1700.0000000000005,346.2499999999999,405.00000000000006,455.83333333333326,516.8333333333331,547.6666666666666,623.3333333333337,643.75,672.5,711.666666666667,732.4166666666666,704.666666666667
89,1000003003,1383.2499999999995,1464.2500000000002,1506.7499999999998,1601.6666666666663,1623.7499999999995,1647.9166666666667,1640.833333333333,1653.7499999999995,1650.4166666666672,1649.999999999999,1659.1666666666667,297.0833333333333,318.3333333333335,402.4999999999999,451.24999999999994,496.24999999999994,509.16666666666663,565.0,579.1666666666667,600.166666666667,621.25,622.0833333333335
90,1000003005,1415.0,1489.9999999999998,1520.0,1594.999999999999,1639.9999999999995,1699.999999999999,1709.9999999999995,1735.0,1747.9999999999998,1744.9999999999998,1754.999999999999,390.0,449.9999999999999,503.00000000000006,584.9999999999998,649.9999999999997,709.9999999999998,592.9999999999997,720.0000000000001,701.0,706.9999999999998,718.9999999999999
92,1000003009,1360.0,1439.9999999999998,1535.0,1592.9999999999998,1610.9999999999995,1631.9999999999995,1637.9999999999995,1640.9999999999995,1625.0,1619.999999999999,1629.9999999999995,380.0,424.9999999999998,474.9999999999999,543.9999999999997,618.0,600.9999999999999,621.9999999999998,599.0,628.0,649.9999999999998,664.9999999999998
93,1000003010,1225.4166666666663,1289.25,1341.3333333333326,1404.583333333333,1463.500000000001,1561.8333333333326,1617.0833333333335,1640.416666666666,1646.666666666667,1665.4166666666665,1669.1666666666667,202.91666666666657,236.75,258.2499999999999,285.41666666666663,317.91666666666674,387.5,439.416666666667,471.00000000000034,525.0,514.5833333333335,520.0833333333335
95,1000003012,1308.7499999999998,1357.916666666667,1449.5833333333321,1504.166666666667,1551.6666666666672,1571.2499999999993,1585.4166666666667,1590.833333333333,1600.0000000000007,1599.9999999999998,1600.000000000001,277.49999999999994,310.0833333333333,368.6666666666665,401.74999999999994,445.00000000000017,468.08333333333326,480.66666666666686,487.7499999999998,487.41666666666663,513.1666666666667,501.7499999999999
96,1000003013,1386.4166666666663,1463.4166666666667,1539.499999999999,1605.8333333333335,1673.1666666666665,1708.6666666666654,1716.0000000000007,1716.9999999999998,1728.1666666666674,1729.9999999999998,1729.1666666666665,303.41666666666646,345.33333333333337,397.7499999999999,456.24999999999994,527.7500000000001,560.5,588.0833333333336,588.9999999999999,587.416666666667,570.8333333333333,581.8333333333336
